DT,distance(Km),heart,pace
2023-04-22 16:39:02,23.05,154,5:40
2023-04-28 21:21:04,5.01,156,5:23
2023-04-30 16:18:33,21.23,150,5:57
2023-05-02 20:01:16,5.03,160,5:06
2023-05-03 21:08:56,4.05,120,7:21
2023-05-05 17:54:38,7.18,159,5:21
2023-05-07 19:08:42,3.90,126,8:09
2023-05-08 20:33:34,5.04,161,5:02
2023-05-13 21:10:35,4.01,148,5:42
2023-05-14 21:03:36,5.13,155,5:14
2023-05-18 21:07:35,6.33,160,5:23
2023-05-20 21:09:55,5.03,150,5:39
2023-05-24 20:58:56,5.24,161,5:12
2023-05-30 20:35:18,6.79,154,5:43
2023-05-31 20:56:48,5.22,156,5:23
2023-06-01 21:15:23,4.04,151,5:24
2023-06-04 21:06:02,5.04,160,4:58
2023-06-05 21:10:03,5.04,154,5:03
2023-06-07 20:53:08,5.34,151,5:21
2023-06-08 21:25:29,4.00,152,5:17
2023-06-10 21:10:14,5.33,153,5:10
2023-06-11 20:32:53,8.04,156,5:14
2023-06-13 21:02:52,5.41,156,5:01
2023-06-14 21:14:48,4.14,152,5:00
2023-06-20 20:40:32,8.06,156,5:24
2023-06-21 21:17:38,5.12,156,5:06
2023-06-22 21:17:42,5.42,148,5:25
2023-06-25 21:05:32,4.01,150,5:25
2023-06-27 21:08:58,5.17,151,5:15
2023-06-28 21:03:16,5.04,156,5:11
2023-06-29 21:02:26,5.38,150,5:29
2023-07-01 21:07:11,5.03,157,5:20
2023-07-03 21:05:44,6.08,149,5:47
2023-07-04 21:02:27,5.62,139,5:41
2023-07-05 21:17:26,4.01,153,4:55
2023-07-06 21:04:25,6.71,150,5:30
2023-07-08 17:40:23,7.04,148,5:38
2023-07-09 21:14:57,4.54,161,4:42
2023-07-10 21:07:20,7.39,144,5:32
2023-07-11 21:06:27,4.38,148,5:30
2023-07-12 20:56:51,4.04,139,5:49
2023-07-14 21:10:37,5.03,153,4:37
2023-07-15 21:06:56,4.08,140,5:52
2023-07-16 21:00:24,3.48,112,7:43
2023-07-19 21:14:45,3.06,112,8:50
2023-07-21 22:21:54,4.49,128,6:59
2023-07-23 08:13:26,7.67,150,5:57
2023-07-24 09:04:50,4.07,148,5:35
2023-07-25 08:14:43,7.45,159,5:12
2023-07-30 20:06:16,3.04,97,13:45
2023-08-01 19:10:07,6.72,159,5:36
2023-08-02 21:12:00,6.08,145,5:51
2023-08-03 21:19:09,5.04,145,5:45
2023-08-04 21:06:36,7.08,146,5:50
2023-08-07 21:14:29,6.71,156,5:14
2023-08-08 21:03:26,7.50,144,5:46
2023-08-09 21:06:41,6.42,142,5:43
2023-08-10 21:07:57,5.54,145,5:35
2023-08-11 21:45:42,4.08,137,5:39
2023-08-13 06:21:36,7.12,158,5:31
2023-08-14 20:54:11,7.64,150,5:20
2023-08-15 21:24:48,5.46,152,5:05
2023-08-17 20:49:12,9.05,153,5:21
2023-08-18 21:22:42,5.33,150,5:14
2023-08-20 18:24:22,4.05,153,5:03
2023-08-21 18:00:12,9.04,142,5:57
2023-08-22 20:53:43,10.09,146,5:39
2023-08-23 21:16:26,4.07,141,5:20
2023-08-24 17:45:11,7.86,142,5:39
2023-08-25 21:03:19,3.06,146,5:31
2023-08-27 06:44:28,7.12,138,5:45
2023-08-28 20:57:19,5.14,150,5:04
2023-08-31 21:11:04,6.75,153,5:00
2023-09-01 21:16:11,5.33,155,4:55
2023-09-03 06:54:54,12.15,151,5:38
2023-09-04 21:08:05,6.09,152,5:23
2023-09-05 21:18:08,6.57,141,5:30
2023-09-06 20:47:07,10.07,142,5:40
2023-09-07 20:09:23,6.59,143,5:35
2023-09-09 06:19:45,5.15,147,5:17
2023-09-10 06:53:34,10.07,145,5:35
2023-09-11 20:47:49,6.25,160,4:48
2023-09-13 19:58:28,5.25,137,5:44
2023-09-13 20:30:25,8.74,142,5:50
2023-09-15 20:54:08,4.49,148,5:06
2023-09-17 07:06:59,10.11,147,5:29
2023-09-18 18:02:37,8.06,162,5:02
2023-09-19 20:14:58,7.17,147,5:36
2023-09-21 20:06:42,12.28,146,5:28
2023-09-24 16:48:31,15.07,148,5:58
2023-09-25 20:46:53,6.17,147,5:51
2023-09-26 21:00:26,5.47,143,5:32
2023-09-28 21:04:38,6.43,152,5:37
2023-09-30 06:56:42,4.54,150,5:12
2023-10-01 06:31:49,22.84,148,5:39
2023-10-02 20:32:51,8.68,140,5:47
2023-10-05 07:47:16,9.29,144,5:29
2023-10-06 07:44:31,8.76,147,5:43
2023-10-07 21:05:26,6.18,159,4:52
2023-10-08 19:42:52,16.23,138,6:00
2023-10-10 21:01:35,5.41,131,6:29
2023-10-12 20:07:45,8.63,145,6:02
2023-10-14 07:49:52,6.84,156,4:42
2023-10-15 07:11:05,15.03,150,5:22
2023-10-16 20:52:58,6.09,138,5:45
2023-10-17 20:24:32,5.38,149,5:14
2023-10-21 07:16:23,3.58,140,5:38
2023-10-22 07:30:53,42.45,151,6:06
2023-10-24 21:04:00,4.08,132,6:01
2023-10-26 21:03:10,9.44,152,5:19
2023-10-28 06:48:21,8.38,137,6:34
2023-10-29 06:43:47,5.41,157,4:50
2023-10-30 21:04:02,8.03,157,4:53
2023-11-01 20:21:00,10.51,146,5:37
2023-11-03 20:56:26,12.21,149,5:26
2023-11-05 17:13:39,5.05,138,5:20
2023-11-06 21:04:29,7.62,143,5:48
2023-11-08 20:53:43,7.68,147,5:44
2023-11-10 16:28:38,4.09,147,5:21
2023-11-12 15:42:07,19.05,152,5:07
2023-11-13 21:07:44,4.07,143,5:27
2023-11-16 20:18:08,5.05,142,5:30
2023-11-19 07:31:54,42.63,154,6:00
2023-11-20 20:45:03,4.07,130,6:12
2023-11-21 20:26:42,6.17,140,5:32
2023-11-22 21:10:06,4.07,153,4:56
2023-11-24 20:55:22,6.34,141,5:45
2023-11-25 21:09:02,4.01,149,4:56
2023-11-26 15:55:23,6.09,142,5:27
2023-11-28 20:26:46,5.08,149,5:13
2023-12-02 06:45:35,8.54,142,5:20
2023-12-05 17:02:35,8.76,161,5:26
2023-12-06 16:43:28,6.42,153,5:26
2023-12-07 17:00:33,10.40,158,5:10
2023-12-09 20:15:37,6.07,157,4:31
2023-12-11 20:18:19,8.07,146,5:12
2023-12-12 20:45:27,4.08,136,5:27
2023-12-14 17:01:16,10.11,157,5:14
2023-12-15 16:17:14,6.88,140,5:52
2023-12-16 06:52:33,9.62,145,5:24
2023-12-17 15:22:27,12.05,153,5:02
2023-12-19 07:56:23,6.21,144,6:05
2023-12-20 20:55:57,5.79,147,5:21
2023-12-21 16:59:35,8.32,143,5:12
2023-12-22 07:55:28,7.12,152,5:27
2023-12-23 15:38:17,8.51,137,5:40
2023-12-25 07:26:37,7.00,148,5:33
2023-12-26 15:48:40,8.71,151,6:08
2023-12-27 15:41:58,9.21,151,5:33
2023-12-28 16:29:53,5.78,152,5:11
2023-12-30 16:51:49,10.00,146,5:27
2024-01-01 16:09:59,12.05,151,4:53
2024-01-02 16:18:35,5.41,143,5:31
2024-01-03 07:42:52,6.41,146,5:49
2024-01-04 16:19:05,7.21,149,5:25
2024-01-05 16:26:05,7.50,153,6:00
2024-01-06 19:32:17,6.61,151,5:22
2024-01-07 15:51:18,13.81,137,5:29
2024-01-08 18:48:49,6.61,127,6:07
2024-01-09 17:57:01,6.16,153,5:12
2024-01-10 16:20:43,8.00,151,5:12
2024-01-11 16:19:48,8.55,148,5:29
2024-01-13 17:47:20,6.50,151,5:58
2024-01-14 16:25:16,7.61,151,5:14
2024-01-15 07:24:22,5.71,136,6:10
2024-01-15 20:36:32,7.05,143,5:02
2024-01-16 16:17:15,7.80,146,5:27
2024-01-17 07:39:26,7.00,148,5:30
2024-01-18 16:21:55,9.76,150,5:20
2024-01-19 16:15:29,7.11,148,6:08
2024-01-20 16:34:08,7.20,131,5:51
2024-01-21 16:36:38,6.50,139,5:34
